Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,4,2016,22,F,true,JMC,AUGUST,2021,Lecture 1
1,US,4,2016,22,F,true,PYC,JANUARY,2024,Lecture 7
2,GB,10,2015,37,U,false,JMC,JULY,2021,Lecture 6
2,GB,10,2015,37,U,false,PYC,DECEMBER,2022,Lecture 1
3,CN,6,2021,27,U,true,JMC,MARCH,2023,Lecture 7
3,CN,6,2021,27,U,true,PYC,JANUARY,2024,Lecture 3
4,AU,11,2016,43,F,true,JMC,AUGUST,2018,Lecture 2
4,AU,11,2016,43,F,true,PYC,APRIL,2019,Lecture 7
5,CN,9,2024,63,F,false,JMC,MARCH,2024,Lecture 7
5,CN,9,2024,63,F,false,PYC,FEBRUARY,2024,Lecture 1
6,GB,7,2018,44,U,false,JMC,JANUARY,2018,Lecture 8
6,GB,7,2018,44,U,false,PYC,NOVEMBER,2018,Lecture 1
7,GB,1,2020,59,M,true,JMC,JANUARY,2023,Lecture 2
7,GB,1,2020,59,M,true,PYC,JUNE,2023,Lecture 3
8,US,6,2019,85,U,false,JMC,MARCH,2021,Lecture 1
8,US,6,2019,85,U,false,PYC,MAY,2022,Lecture 13
9,AU,11,2022,49,M,true,JMC,MAY,2024,Lecture 6
9,AU,11,2022,49,M,true,PYC,NOVEMBER,2024,Lecture 3
10,CN,8,2023,87,U,false,JMC,APRIL,2024,Lecture 6
10,CN,8,2023,87,U,false,PYC,SEPTEMBER,2023,Lecture 2
11,CN,6,2022,58,F,false,JMC,AUGUST,2022,Lecture 3
11,CN,6,2022,58,F,false,PYC,JUNE,2023,Lecture 1
12,GB,8,2015,18,M,true,JMC,AUGUST,2018,Lecture 10
12,GB,8,2015,18,M,true,PYC,JULY,2019,Lecture 14
13,CN,11,2021,48,F,false,JMC,FEBRUARY,2022,Lecture 7
13,CN,11,2021,48,F,false,PYC,DECEMBER,2023,Lecture 9
14,CN,8,2015,46,F,false,JMC,JANUARY,2019,Lecture 9
14,CN,8,2015,46,F,false,PYC,FEBRUARY,2020,Lecture 8
15,IN,2,2019,71,M,true,JMC,FEBRUARY,2023,Lecture 1
15,IN,2,2019,71,M,true,PYC,DECEMBER,2020,Lecture 3
16,IN,8,2024,38,M,false,JMC,JUNE,2024,Lecture 5
16,IN,8,2024,38,M,false,PYC,FEBRUARY,2024,Lecture 12
17,IN,10,2020,73,M,true,JMC,SEPTEMBER,2020,Lecture 13
17,IN,10,2020,73,M,true,PYC,JULY,2024,Lecture 6
18,IN,12,2020,27,F,false,JMC,MARCH,2023,Lecture 10
18,IN,12,2020,27,F,false,PYC,FEBRUARY,2020,Lecture 13
19,US,3,2016,65,M,false,JMC,AUGUST,2022,Lecture 6
19,US,3,2016,65,M,false,PYC,FEBRUARY,2024,Lecture 11
20,CN,7,2022,63,M,false,JMC,AUGUST,2023,Lecture 11
20,CN,7,2022,63,M,false,PYC,JULY,2022,Lecture 11
21,GB,8,2021,79,F,true,JMC,JANUARY,2022,Lecture 11
21,GB,8,2021,79,F,true,PYC,SEPTEMBER,2024,Lecture 2
22,AU,4,2016,47,M,true,JMC,JUNE,2020,Lecture 14
22,AU,4,2016,47,M,true,PYC,SEPTEMBER,2023,Lecture 5
23,IN,9,2023,82,M,true,JMC,JUNE,2024,Lecture 5
23,IN,9,2023,82,M,true,PYC,JANUARY,2024,Lecture 11
24,AU,2,2020,44,U,false,JMC,JUNE,2022,Lecture 10
24,AU,2,2020,44,U,false,PYC,JULY,2021,Lecture 1
25,US,8,2023,71,M,true,JMC,DECEMBER,2023,Lecture 4
25,US,8,2023,71,M,true,PYC,FEBRUARY,2023,Lecture 11
