Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,IN,5,2024,37,F,true,JMC,APRIL,2024,Lecture 13
1,IN,5,2024,37,F,true,PYC,SEPTEMBER,2024,Lecture 14
2,US,9,2017,82,U,true,JMC,OCTOBER,2020,Lecture 2
2,US,9,2017,82,U,true,PYC,JANUARY,2021,Lecture 8
3,AU,12,2015,58,F,true,JMC,JANUARY,2021,Lecture 1
3,AU,12,2015,58,F,true,PYC,MAY,2017,Lecture 12
4,AU,8,2022,51,U,true,JMC,NOVEMBER,2023,Lecture 14
4,AU,8,2022,51,U,true,PYC,JANUARY,2022,Lecture 1
5,AU,8,2022,50,F,false,JMC,JUNE,2024,Lecture 11
5,AU,8,2022,50,F,false,PYC,FEBRUARY,2024,Lecture 14
6,AU,12,2017,41,F,true,JMC,DECEMBER,2018,Lecture 6
6,AU,12,2017,41,F,true,PYC,AUGUST,2018,Lecture 6
7,IN,3,2015,51,U,false,JMC,OCTOBER,2021,Lecture 13
7,IN,3,2015,51,U,false,PYC,JUNE,2020,Lecture 1
8,GB,8,2019,82,F,false,JMC,SEPTEMBER,2023,Lecture 6
8,GB,8,2019,82,F,false,PYC,DECEMBER,2023,Lecture 14
9,IN,3,2019,50,F,true,JMC,NOVEMBER,2020,Lecture 14
9,IN,3,2019,50,F,true,PYC,SEPTEMBER,2022,Lecture 9
10,AU,6,2020,79,M,true,JMC,JULY,2020,Lecture 14
10,AU,6,2020,79,M,true,PYC,JANUARY,2021,Lecture 3
11,GB,11,2023,35,F,false,JMC,NOVEMBER,2023,Lecture 11
11,GB,11,2023,35,F,false,PYC,JANUARY,2023,Lecture 13
12,CN,9,2016,49,F,true,JMC,JUNE,2022,Lecture 7
12,CN,9,2016,49,F,true,PYC,OCTOBER,2024,Lecture 14
13,GB,10,2017,85,F,false,JMC,MAY,2020,Lecture 3
13,GB,10,2017,85,F,false,PYC,JULY,2024,Lecture 5
14,AU,2,2021,44,F,true,JMC,AUGUST,2021,Lecture 4
14,AU,2,2021,44,F,true,PYC,AUGUST,2024,Lecture 14
15,US,6,2022,78,M,true,JMC,JANUARY,2024,Lecture 8
15,US,6,2022,78,M,true,PYC,MARCH,2024,Lecture 5
16,US,2,2018,78,U,true,JMC,OCTOBER,2018,Lecture 1
16,US,2,2018,78,U,true,PYC,FEBRUARY,2022,Lecture 9
17,CN,6,2018,32,U,false,JMC,AUGUST,2018,Lecture 7
17,CN,6,2018,32,U,false,PYC,JULY,2020,Lecture 14
18,IN,3,2018,28,F,false,JMC,FEBRUARY,2022,Lecture 5
18,IN,3,2018,28,F,false,PYC,NOVEMBER,2024,Lecture 9
19,IN,9,2017,57,F,false,JMC,APRIL,2020,Lecture 12
19,IN,9,2017,57,F,false,PYC,MARCH,2020,Lecture 1
20,GB,4,2019,86,F,false,JMC,JULY,2019,Lecture 13
20,GB,4,2019,86,F,false,PYC,FEBRUARY,2019,Lecture 13
21,IN,9,2015,26,F,false,JMC,NOVEMBER,2023,Lecture 8
21,IN,9,2015,26,F,false,PYC,JULY,2017,Lecture 7
22,US,2,2022,66,U,false,JMC,JANUARY,2022,Lecture 9
22,US,2,2022,66,U,false,PYC,JUNE,2023,Lecture 3
23,GB,4,2022,35,M,false,JMC,DECEMBER,2022,Lecture 2
23,GB,4,2022,35,M,false,PYC,MAY,2024,Lecture 3
24,GB,11,2020,51,F,true,JMC,APRIL,2023,Lecture 9
24,GB,11,2020,51,F,true,PYC,NOVEMBER,2021,Lecture 2
25,CN,7,2019,54,F,true,JMC,APRIL,2023,Lecture 1
25,CN,7,2019,54,F,true,PYC,JUNE,2022,Lecture 14
